2025-05-30 16:52:48,618 INFO    MainThread:1535320 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_setup.py:_flush():77] Configure stats pid to 1535320
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_setup.py:_flush():77] Loading settings from /home/selinawisco/.config/wandb/settings
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_setup.py:_flush():77] Loading settings from /home/selinawisco/children_ssd_detection/whisper_asr_hugginface/wandb/settings
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'whisper_asr_hugginface/0.multitask_whisper_asr_finetuning.py', 'program_abspath': '/home/selinawisco/children_ssd_detection/whisper_asr_hugginface/0.multitask_whisper_asr_finetuning.py', 'program': '/home/selinawisco/children_ssd_detection/whisper_asr_hugginface/0.multitask_whisper_asr_finetuning.py'}
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_setup.py:_flush():77] Applying login settings: {}
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_init.py:_log_setup():532] Logging user logs to /home/selinawisco/children_ssd_detection/whisper_asr_hugginface/wandb/run-20250530_165248-99za9czl/logs/debug.log
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_init.py:_log_setup():533] Logging internal logs to /home/selinawisco/children_ssd_detection/whisper_asr_hugginface/wandb/run-20250530_165248-99za9czl/logs/debug-internal.log
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_init.py:init():616] calling init triggers
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0003, 'batch_size': 8, 'gradient_accumulation_steps': 2, 'fp16': True, 'max_steps': 5000, 'seed': 42, 'alpha': 0.3}
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_init.py:init():666] starting backend
2025-05-30 16:52:48,619 INFO    MainThread:1535320 [wandb_init.py:init():670] setting up manager
2025-05-30 16:52:48,620 INFO    MainThread:1535320 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-30 16:52:48,621 INFO    MainThread:1535320 [wandb_init.py:init():678] backend started and connected
2025-05-30 16:52:48,623 INFO    MainThread:1535320 [wandb_init.py:init():773] updated telemetry
2025-05-30 16:52:48,628 INFO    MainThread:1535320 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2025-05-30 16:52:49,027 INFO    MainThread:1535320 [wandb_init.py:init():857] starting run threads in backend
2025-05-30 16:52:49,142 INFO    MainThread:1535320 [wandb_run.py:_console_start():2459] atexit reg
2025-05-30 16:52:49,142 INFO    MainThread:1535320 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2025-05-30 16:52:49,143 INFO    MainThread:1535320 [wandb_run.py:_redirect():2372] Wrapping output streams.
2025-05-30 16:52:49,143 INFO    MainThread:1535320 [wandb_run.py:_redirect():2397] Redirects installed.
2025-05-30 16:52:49,144 INFO    MainThread:1535320 [wandb_init.py:init():900] run started, returning control to user process
2025-05-30 16:59:29,039 WARNING MsgRouterThr:1535320 [router.py:message_loop():77] message_loop has been closed
